JOB_NUMBER,USER,TIMESTAMP,COMMIT_ID,BRANCH,PLATFORM,MODE,VERSION,MODIFY_LOG,BUILD_ACTION,PACKAGE_MODE,IPA_METHOD,BUILD_CODE,ALIAS,PATCH_PLATFORM_MODE,PATCH_VERSION,PATCH_COMMIT
1,sagittarius,1576819152156,UNDEFINED,UNDEFINED,ios,debug,UNDEFINED,UNDEFINED,build_app,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
2,sagittarius,1576819278175,UNDEFINED,UNDEFINED,ios,debug,UNDEFINED,UNDEFINED,build_app,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
3,sagittarius,1576819511864,UNDEFINED,UNDEFINED,ios,release,UNDEFINED,UNDEFINED,build_app,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
4,sagittarius,1576821428522,UNDEFINED,UNDEFINED,ios,debug,UNDEFINED,UNDEFINED,build_app,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
5,sagittarius,1576822304507,UNDEFINED,UNDEFINED,ios,release,UNDEFINED,UNDEFINED,build_app,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
6,sagittarius,1576823264792,UNDEFINED,UNDEFINED,ios,release,UNDEFINED,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
7,sagittarius,1576825759654,UNDEFINED,UNDEFINED,ios,debug,UNDEFINED,UNDEFINED,build_app,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
8,sagittarius,1576827024241,ea37c65f7f74df3cb480d8a2040053f613101048,origin/lua,ios,release,UNDEFINED,UNDEFINED,build_app,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
9,sagittarius,1576828581175,6f474e185a4824ea52e1d63fe25f3a9f15eb9f4f,origin/release/v1.0.4,ios,debug,UNDEFINED,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
10,sagittarius,1576833808868,eb71f16ac94f2a126c569f85959deabc41156342,v1.0.4,ios,debug,UNDEFINED,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
11,sagittarius,1577350507680,6f474e185a4824ea52e1d63fe25f3a9f15eb9f4f,origin/release/v1.0.4,ios,debug,UNDEFINED,1. test 2. test,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
12,sagittarius,1577694045407,6f474e185a4824ea52e1d63fe25f3a9f15eb9f4f,origin/release/v1.0.4,ios,debug,UNDEFINED,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
13,sagittarius,1577698685470,6f474e185a4824ea52e1d63fe25f3a9f15eb9f4f,origin/release/v1.0.4,ios,debug,UNDEFINED,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
14,sagittarius,1577699051849,6f474e185a4824ea52e1d63fe25f3a9f15eb9f4f,origin/release/v1.0.4,ios,debug,UNDEFINED,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
15,sagittarius,1577716080854,6f474e185a4824ea52e1d63fe25f3a9f15eb9f4f,origin/release/v1.0.4,ios,debug,UNDEFINED,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
16,sagittarius,1577764296271,6f474e185a4824ea52e1d63fe25f3a9f15eb9f4f,origin/release/v1.0.4,ios,debug,UNDEFINED,test,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
17,sagittarius,1577766275430,6f474e185a4824ea52e1d63fe25f3a9f15eb9f4f,origin/release/v1.0.4,ios,debug,UNDEFINED,test,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
18,sagittarius,1577774258871,6f474e185a4824ea52e1d63fe25f3a9f15eb9f4f,origin/release/v1.0.4,ios,debug,UNDEFINED,test,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
19,sagittarius,1577784805484,b895daeb155221699facc5fcd9645217cb08498c,origin/lua,ios,debug,0.0.0,test,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
20,sagittarius,1577785166245,b895daeb155221699facc5fcd9645217cb08498c,origin/lua,ios,debug,0.0.0,test,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
21,sagittarius,1577785218330,b895daeb155221699facc5fcd9645217cb08498c,origin/lua,ios,debug,0.0.0,test,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
22,sagittarius,1577785346938,b895daeb155221699facc5fcd9645217cb08498c,origin/lua,ios,debug,0.0.0,test,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
23,sagittarius,1577786124523,40767965fb55c4a470679b949a60317e6167337f,origin/lua,ios,debug,0.0.0,test,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
24,sagittarius,1577789255467,2fb962b5d1df4e7b62e63bb42b6f537ccfdc6967,origin/lua,ios,debug,0.0.0,UNDEFINED,upload_patch,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED
