JOB_NUMBER,COMMIT_ID,BRANCH,PLATFORM,MODE,VERSION,MODIFY_LOG,BUILD_ACTION,PACKAGE_MODE,IPA_METHOD,BUILD_CODE,ALIAS,PATCH_PLATFORM_MODE,PATCH_VERSION,PATCH_COMMIT
8,ea37c65f7f74df3cb480d8a2040053f613101048,origin/lua,ios,release,undefined,,build_app,undefined,undefined,undefined,undefined,undefined,undefined,undefined
9,6f474e185a4824ea52e1d63fe25f3a9f15eb9f4f,origin/release/v1.0.4,ios,debug,undefined,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
10,eb71f16ac94f2a126c569f85959deabc41156342,v1.0.4,ios,debug,undefined,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
11,6f474e185a4824ea52e1d63fe25f3a9f15eb9f4f,origin/release/v1.0.4,ios,debug,undefined,1. test
2. test,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
12,6f474e185a4824ea52e1d63fe25f3a9f15eb9f4f,origin/release/v1.0.4,ios,debug,undefined,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
13,6f474e185a4824ea52e1d63fe25f3a9f15eb9f4f,origin/release/v1.0.4,ios,debug,undefined,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
14,6f474e185a4824ea52e1d63fe25f3a9f15eb9f4f,origin/release/v1.0.4,ios,debug,undefined,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
15,6f474e185a4824ea52e1d63fe25f3a9f15eb9f4f,origin/release/v1.0.4,ios,debug,undefined,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
16,6f474e185a4824ea52e1d63fe25f3a9f15eb9f4f,origin/release/v1.0.4,ios,debug,undefined,test,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
17,6f474e185a4824ea52e1d63fe25f3a9f15eb9f4f,origin/release/v1.0.4,ios,debug,undefined,test,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
18,6f474e185a4824ea52e1d63fe25f3a9f15eb9f4f,origin/release/v1.0.4,ios,debug,undefined,test,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
19,b895daeb155221699facc5fcd9645217cb08498c,origin/lua,ios,debug,0.0.0,test,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
20,b895daeb155221699facc5fcd9645217cb08498c,origin/lua,ios,debug,0.0.0,test,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
21,b895daeb155221699facc5fcd9645217cb08498c,origin/lua,ios,debug,0.0.0,test,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
22,b895daeb155221699facc5fcd9645217cb08498c,origin/lua,ios,debug,0.0.0,test,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
23,40767965fb55c4a470679b949a60317e6167337f,origin/lua,ios,debug,0.0.0,test,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
24,2fb962b5d1df4e7b62e63bb42b6f537ccfdc6967,origin/lua,ios,debug,0.0.0,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
25,2fb962b5d1df4e7b62e63bb42b6f537ccfdc6967,origin/lua,ios,debug,0.0.0,test1,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
26,bb26c95a08fea4c7f1d278a6a6b1fb93700abeee,origin/lua,ios,debug,0.0.0,test2,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
27,ff15012f9afc193f03cf08eb438ef1b4eeced9dd,origin/lua,ios,debug,0.0.0,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
28,c6a7c3a142ccaecb997d6862d8126a3d1c7ef1a0,origin/lua,ios,debug,0.0.0,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
29,fce4f46072d81cac64e6f126067c0081fc298def,origin/lua,ios,debug,0.0.0,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
30,9908c355a124c8e0c00b1ffb594bd7ba7cd151a4,origin/lua,ios,debug,0.0.0,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
31,4bdc1f2b1794e04f5a228f314a28988e368870e0,origin/lua,ios,debug,0.0.0,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
32,9356ef33f232609a23c750015d71c5e0019cf477,origin/lua,ios,debug,0.0.0,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
33,7ddf2b2008626fcab631d0dae287e421b9d92888,origin/lua,ios,debug,0.0.0,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
34,4ac21e91d7a96aa0b48b3ddf55c234e3f591b259,origin/lua,ios,debug,0.0.0,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
35,ab34be007d4061a650297a4761b73fd1c4e498b6,origin/lua,ios,debug,0.0.0,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
36,83912675659c6250c4be485c54c0b952c0d8d50a,origin/lua,ios,debug,0.0.0,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
37,f5859fae2a353f959295eae14b4a62de3b380cb6,origin/lua,ios,debug,0.0.0,修改适配问题,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
38,8530f0a0ddceee39ac3fbb96ec73cff46ac6709b,origin/lua,ios,debug,0.0.0,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
39,fc4bc3e1b8a3716dfec6e998ad7a5e9f7f665df7,origin/lua,ios,debug,0.0.0,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
40,bbe1bde520850a459192fd50f56fd37c14191e44,origin/lua,ios,debug,0.0.0,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
41,33d6d3f5b3234f193bfc78247fc8fd36a7ac9dc9,origin/lua,ios,debug,0.0.0,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
42,4de60bf66785f6b5ad16206dadec4a1cc95f3bc9,origin/lua,ios,debug,0.0.0,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
43,a308a28e07e87ea2b946a1761b85f57222b9927c,origin/lua,ios,debug,0.0.0,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
44,bf1e21d48c7657e1250e6f5e0b233c1c2a9f2188,origin/lua,ios,debug,0.0.0,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
45,9adacbea3ecfd7f427f03d59315c36d6f1cae942,origin/lua,ios,debug,0.0.0,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
46,dd56803f759bacbef6eae94844e55a3758246c7d,origin/lua,ios,debug,0.0.0,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
47,a56ea559ffc439bb2cc31811f675d70fe829a800,origin/lua,ios,debug,0.0.0,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
48,7f65fd271c0061dfeceed589f547e215d2c4bf5e,origin/lua,ios,debug,0.0.0,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
49,d9f34c805102e04e4f3cd85757787fdf0ba4aa08,origin/lua,ios,debug,0.0.0,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
50,ca3169e0acb9213e71d00d8b4afdc850073b8700,origin/release/v1.0.5,ios,debug,0.0.0,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
51,843cee3142b0ef0bef030a5421224c7dd1620443,origin/lua,ios,debug,0.0.0,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
52,a86508d4363bb9423e240cdb1fbd1183fa4b8d41,origin/lua,ios,debug,0.0.0,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
53,06fbe8785c56989b9c3a7014f38f993c379ef9c3,origin/lua,ios,debug,0.0.0,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
54,06fbe8785c56989b9c3a7014f38f993c379ef9c3,origin/lua,ios,debug,0.0.0,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
55,8f80b6530eb8fe68ecae5b95ee8cef8239030fba,origin/lua,ios,debug,0.0.0,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
56,8f80b6530eb8fe68ecae5b95ee8cef8239030fba,origin/lua,ios,debug,0.0.0,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
57,5a38f8e65c8803b889d51ef920f26eb361050400,origin/release/v1.0.6,ios,debug,0.0.0,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
58,802220536b6751a582ac48cae5bf63d4f29419ac,origin/release/v1.0.6,ios,debug,0.0.0,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
59,802220536b6751a582ac48cae5bf63d4f29419ac,origin/release/v1.0.6,ios,debug,0.0.0,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
60,af2aba48d161c4f0598208d215148ddaa7303151,origin/release/v1.0.6,ios,debug,0.0.0,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
61,67efcba068ee8169003ba937f1be8d2997e14cfb,origin/release/v1.0.6,ios,debug,0.0.0,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
62,67efcba068ee8169003ba937f1be8d2997e14cfb,origin/release/v1.0.6,ios,debug,0.0.0,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
63,3ab264b36761c2bf9d44d1bba44464a069903afb,origin/release/v1.0.6,ios,debug,0.0.0,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
64,7de057b8f75f478956cf30667480afd4e9420c5b,origin/lua,ios,debug,0.0.0,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
65,fe42461f441294e984d3d5757df13f89f05fa9a4,origin/lua,ios,debug,0.0.0,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
66,6548351fff8272141b8d6270f0fec2bcf8b849e7,origin/release/v1.0.6,ios,debug,0.0.0,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
67,3daee79ea5e1d5e7ce8d5230dc1b4b35ff85bf3b,origin/feature/fb-link-test,ios,debug,0.0.0,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
68,861ba4144c44814dc430bde2ecc9225f6dc22338,origin/release/v1.0.6,ios,debug,0.0.0,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
69,d96f7e50901e6105cdf4ec334f76f60699253675,origin/release/v1.0.6,ios,debug,0.0.0,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
70,b3c1bd1eee70470364be6477cdd65ce0b1375ecd,origin/release/v1.0.6,ios,debug,0.0.0,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
71,de91eb1833dcc9b9d01c9d60ed04886d7df4fec8,origin/release/v1.0.6,ios,debug,0.0.0,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
72,de91eb1833dcc9b9d01c9d60ed04886d7df4fec8,origin/release/v1.0.6,ios,debug,0.0.0,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
73,b2114181282d8ad5a517c37b1ed920a0e570389b,origin/lua,ios,debug,0.0.1,test,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
74,64b186947cca7ce286f4b25c2f6d2843e052be53,origin/lua,ios,debug,0.0.1,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
75,77448675c29a33591e39c3aba4c794c553fe6265,origin/lua,ios,debug,0.0.1,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
76,c4bebdce389c104ce2f088d516ff46272b3b956f,,ios,debug,0.0.1,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
78,4bf7d4d990ad01a4f808875dac740556a08d5639,origin/lua,ios,debug,0.0.1,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
79,6d827e5f948e93e596d27c49df5b843619cb9e68,origin/lua,ios,debug,0.0.1,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
80,6d827e5f948e93e596d27c49df5b843619cb9e68,origin/lua,ios,debug,0.0.1,,upload_patch,undefined,undefined,undefined,undefined,undefined,undefined,undefined
81,50707075c1352dfc60d2a61605646515157862a4,origin/feature/nanke,ios,debug,1.0.7,,build_app,undefined,undefined,undefined,undefined,undefined,undefined,undefined
82,3738c3bd4602e6f8e2b21506c480c682765f78d2,origin/lua,ios,debug,1.0.7,,upload_patch,undefined,undefined,,undefined,undefined,undefined,undefined
83,94b9f0e0ecc69ee330900536cb17923302b991db,origin/lua,ios,debug,1.0.7,,upload_patch,undefined,,1,undefined,undefined,undefined,undefined
84,c69024be0a02da34a4d5a0f1df35fd91b08348f2,origin/lua,ios,debug,1.0.7,,upload_patch,undefined,,1,undefined,undefined,undefined,undefined
85,ea8cfcf54e4ac7b3a4da537f918ba15dec27ee73,origin/lua,ios,debug,1.0.7,,upload_patch,undefined,,1,undefined,undefined,undefined,undefined
86,ea8cfcf54e4ac7b3a4da537f918ba15dec27ee73,origin/lua,ios,debug,1.0.7,,upload_patch,undefined,,1,undefined,undefined,undefined,undefined
